D,2.87
g_e,-28.03
B_field,"[0.00354, 0.00173, 0.0069500000000000004]"
3.0269539078156313,0.9586426153324434
3.0278557114228457,0.9578598507962597
3.02875751503006,0.9569250103886013
3.0296593186372744,0.9558452852879413
3.030561122244489,0.9546245477986015
3.0314629258517036,0.9532718597933054
3.032364729458918,0.9517941264258925
3.0332665330661324,0.9501986838184369
3.0341683366733467,0.9484968433732927
3.035070140280561,0.9466948896805676
3.0359719438877755,0.9448030483704785
3.0368737474949903,0.9428313936080994
3.0377755511022047,0.940792664170987
3.038677354709419,0.9386931816905573
3.0395791583166334,0.9365462777634905
3.0404809619238478,0.9343629317524509
3.041382765531062,0.9321557195629541
3.0422845691382765,0.9299318083362249
3.043186372745491,0.9277042945628233
3.0440881763527052,0.9254834606126919
3.04498997995992,0.9232818946532944
3.0458917835671344,0.9211087300626368
3.046793587174349,0.9189705456650187
3.047695390781563,0.9168873558332142
3.0485971943887775,0.9148605809593048
3.049498997995992,0.9129029773835216
3.0504008016032067,0.9110236504803759
3.051302605210421,0.9092279598976507
3.0522044088176354,0.9075266633502586
3.05310621242485,0.9059243894104316
3.054008016032064,0.9044281450047271
3.0549098196392785,0.9030458461781159
3.055811623246493,0.9017799800973326
3.0567134268537073,0.9006370479092147
3.057615230460922,0.8996192480407444
3.0585170340681365,0.8987327938925744
3.059418837675351,0.8979753639263293
3.060320641282565,0.897352476796873
3.0612224448897796,0.8968649997031872
3.062124248496994,0.8965114749670069
3.0630260521042083,0.8962954755489531
3.063927855711423,0.8962120463031353
3.0648296593186375,0.8962641865386576
3.065731462925852,0.8964467043772074
3.0666332665330662,0.896760508121494
3.0675350701402806,0.8972004734253033
3.068436873747495,0.897764837892975
3.0693386773547093,0.8984509102621915
3.0702404809619237,0.8992529480799104
3.0711422845691385,0.9001691682363901
3.072044088176353,0.9011944648282635
3.0729458917835673,0.9023226332891434
3.0738476953907816,0.9035535747410482
3.074749498997996,0.9048767051913507
3.0756513026052104,0.9062912970726418
3.0765531062124247,0.9077913631013135
3.0774549098196395,0.9093704428270508
3.078356713426854,0.9110263258450466
3.0792585170340683,0.9127500719048067
3.0801603206412826,0.9145401845604039
3.081062124248497,0.9163895317607419
3.0819639278557114,0.918293225221245
3.0828657314629258,0.9202477584522035
3.08376753507014,0.9222469814170305
3.084669338677355,0.924286680631089
3.0855711422845693,0.9263610426549029
3.0864729458917837,0.9284669296362009
3.087374749498998,0.9305979848252031
3.0882765531062124,0.9327513806396552
3.0891783567134268,0.9349198962129652
3.0900801603206416,0.937100691747079
3.090981963927856,0.9392890848328683
3.0918837675350703,0.9414806202016301
3.0927855711422847,0.9436695600002297
3.093687374749499,0.9458525006094511
3.0945891783567134,0.9480237555917779
3.095490981963928,0.9501796973331811
3.096392785571142,0.9523134118678661
3.097294589178357,0.9544220220859185
3.0981963927855714,0.9564995536333054
3.0990981963927857,0.9585420761088408
3.1,0.9605430212874857
